nuRepos,startDates,endDates,ginis,endLOCs,uniqueAuthorsFromBeginning,numAnnotationsThisWindow,numCommitsThisWindow
google/guava,2014-12-23,2015-03-23,0.3875,216636,19,32,10
google/guava,2015-03-26,2015-06-03,0.306122449,219703,20,14,7
google/guava,2015-06-30,2015-09-28,0.2222222222,223055,22,12,6
google/guava,2015-09-29,2015-12-14,0.2909090909,193631,24,11,5
google/guava,2016-01-20,2016-04-19,0.7128851541,196736,26,119,6
google/guava,2016-04-26,2016-07-13,0.3736263736,196097,27,13,7
google/guava,2016-07-26,2016-09-30,0.5654545455,197541,29,55,10
google/guava,2016-11-03,2017-01-19,0.4812206573,202869,31,71,6
google/guava,2017-03-28,2017-06-21,0.34,387076,33,20,10
google/guava,2017-07-05,2017-09-19,0.6685714286,391903,34,50,7
google/guava,2017-10-05,2018-01-03,0.9221435794,406809,36,1587,43
google/guava,2018-01-05,2018-03-23,0.3734567901,410285,38,27,12
google/guava,2018-05-03,2018-07-09,0.7383612663,410618,42,179,6
google/guava,2018-08-13,2018-10-25,0.4666666667,412882,42,20,3
google/guava,2019-02-14,2019-03-21,0.4680851064,413568,43,94,2
google/guava,2019-05-30,2019-08-13,0.1894736842,413995,45,19,5
google/guava,2019-08-29,2019-11-27,0.4538461538,416275,45,65,6
google/guava,2019-12-17,2020-03-02,0.7767567568,417701,46,370,10
google/guava,2020-04-23,2020-07-13,0.3125,420217,47,16,4
google/ExoPlayer,2017-03-15,2017-06-13,0.3431372549,59935,3,17,6
google/ExoPlayer,2017-06-20,2017-08-29,0.44,67879,8,50,15
google/ExoPlayer,2017-09-20,2017-12-13,0.3448637317,76772,9,53,18
google/ExoPlayer,2017-12-22,2018-03-20,0.3595959596,88295,10,55,27
google/ExoPlayer,2018-03-26,2018-06-22,0.6643424158,97254,10,316,59
google/ExoPlayer,2018-06-27,2018-09-20,0.620958022,108685,13,409,71
google/ExoPlayer,2018-09-28,2018-12-17,0.5127777778,115532,17,160,45
google/ExoPlayer,2019-01-03,2019-04-02,0.4740877842,122487,18,248,61
google/ExoPlayer,2019-04-05,2019-07-04,0.4894329358,127359,20,324,59
google/ExoPlayer,2019-07-05,2019-10-03,0.646471347,129224,28,405,67
google/ExoPlayer,2019-10-04,2020-01-02,0.5660867572,133340,29,473,83
google/ExoPlayer,2020-01-03,2020-03-30,0.5353535354,135479,30,114,33
google/ExoPlayer,2020-04-07,2020-06-17,0.4428571429,137170,31,70,22
skylot/jadx,2014-11-03,2015-01-26,0.2769230769,28420,1,13,5
skylot/jadx,2015-02-07,2015-04-05,0.15,29104,1,8,5
skylot/jadx,2015-05-31,2015-08-09,0.3035714286,32075,1,16,7
skylot/jadx,2015-09-05,2015-09-05,0,32405,1,1,1
skylot/jadx,2016-03-13,2016-03-27,0.1333333333,33555,1,10,3
skylot/jadx,2018-01-15,2018-04-14,0.2575757576,34466,1,11,6
skylot/jadx,2018-04-22,2018-07-21,0.3272727273,36389,1,11,5
skylot/jadx,2018-07-28,2018-09-08,0.5151515152,37006,2,22,6
skylot/jadx,2018-10-28,2019-01-24,0.2823529412,39924,2,17,5
skylot/jadx,2019-02-04,2019-05-05,0.4216524217,44490,3,27,13
skylot/jadx,2019-05-06,2019-08-03,0.4013605442,47585,5,42,21
skylot/jadx,2019-08-08,2019-10-30,0.3193277311,48211,5,17,7
skylot/jadx,2019-11-24,2020-02-04,0.5469387755,49948,7,49,15
skylot/jadx,2020-03-16,2020-06-06,0.6858108108,55433,7,74,16
skylot/jadx,2020-07-20,2020-07-20,0,55488,7,1,1
square/retrofit,2017-05-08,2017-05-25,0.6095238095,14200,1,70,3
square/retrofit,2018-01-14,2018-03-31,0.2222222222,15121,4,9,5
square/retrofit,2018-06-16,2018-09-11,0.3,16304,4,5,2
square/retrofit,2018-09-19,2018-11-16,0.570212766,15991,5,47,5
square/retrofit,2019-01-22,2019-04-09,0.3047619048,16540,5,15,7
square/retrofit,2019-06-23,2019-06-23,0,16423,5,4,1
square/retrofit,2019-12-16,2020-03-11,0.375,16534,7,8,4
square/retrofit,2020-04-17,2020-04-17,0,19046,7,2,1
openzipkin/zipkin,2015-11-04,2015-11-12,0.3,3311,1,5,2
openzipkin/zipkin,2016-03-23,2016-05-17,0.3214285714,11631,1,7,4
openzipkin/zipkin,2017-08-06,2017-10-27,0.3974358974,33547,2,52,12
openzipkin/zipkin,2017-11-10,2018-01-23,0.5441176471,35418,2,17,4
openzipkin/zipkin,2018-04-16,2018-07-15,0.472826087,28083,2,23,8
openzipkin/zipkin,2018-11-17,2019-01-07,0.25,29955,2,13,4
openzipkin/zipkin,2019-04-14,2019-05-15,0.3975409836,31407,3,61,4
openzipkin/zipkin,2019-07-14,2019-09-24,0.3308823529,36590,3,17,8
openzipkin/zipkin,2020-03-06,2020-06-04,0.1666666667,37323,4,4,3
openzipkin/zipkin,2020-07-04,2020-07-12,0.04545454545,37382,4,11,2
dbeaver/dbeaver,2013-12-21,2014-03-21,0.6861111111,133193,1,459,40
dbeaver/dbeaver,2014-03-23,2014-06-21,0.58956743,136245,1,393,50
dbeaver/dbeaver,2014-06-28,2014-09-20,0.4857142857,137261,1,14,5
dbeaver/dbeaver,2014-11-05,2015-01-17,0.375,138632,1,16,5
dbeaver/dbeaver,2015-02-05,2015-04-21,0.5556488165,136746,1,161,37
dbeaver/dbeaver,2015-05-13,2015-07-28,0.7793982064,140545,1,582,41
dbeaver/dbeaver,2015-08-18,2015-11-15,0.6741573034,142131,4,267,35
dbeaver/dbeaver,2015-11-17,2016-02-15,0.7161338431,151414,4,871,97
dbeaver/dbeaver,2016-02-16,2016-05-15,0.6232564968,156525,5,278,49
dbeaver/dbeaver,2016-05-17,2016-07-18,0.6758972087,159713,5,244,37
dbeaver/dbeaver,2016-08-18,2016-11-15,0.6701818182,171556,6,550,70
dbeaver/dbeaver,2016-11-24,2017-02-20,0.4640037705,178656,7,246,69
dbeaver/dbeaver,2017-02-25,2017-05-20,0.5346874357,186171,8,247,59
dbeaver/dbeaver,2017-05-28,2017-08-16,0.488577745,189575,8,118,23
dbeaver/dbeaver,2017-09-08,2017-12-03,0.4351851852,197742,9,88,27
dbeaver/dbeaver,2017-12-21,2018-03-21,0.4228473998,209552,11,51,23
dbeaver/dbeaver,2018-03-25,2018-06-23,0.4682005238,215464,14,198,54
dbeaver/dbeaver,2018-06-24,2018-09-05,0.4880270692,222097,15,113,34
dbeaver/dbeaver,2018-09-27,2018-12-24,0.5313213103,233390,17,247,55
dbeaver/dbeaver,2018-12-30,2019-03-27,0.4593651901,247977,18,122,47
dbeaver/dbeaver,2019-03-31,2019-06-29,0.4711827957,258485,20,248,75
dbeaver/dbeaver,2019-07-02,2019-09-29,0.6221394929,272152,21,1115,159
dbeaver/dbeaver,2019-10-01,2019-12-30,0.5565176534,280171,23,573,78
dbeaver/dbeaver,2019-12-31,2020-03-30,0.6149604462,288143,25,507,93
dbeaver/dbeaver,2020-04-01,2020-06-30,0.5801563324,295041,29,331,63
